#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Total,Average,Generation,Legendary
306,Aggron,Steel,Rock,70,110,180,60,60,50,530,88.33,3,0
306,Aggron (Mega Aggron),Steel,nan,70,140,230,60,80,50,630,105,3,0
307,Meditite,Fighting,Psychic,30,40,55,40,55,60,280,46.67,3,0
308,Medicham,Fighting,Psychic,60,60,75,60,75,80,410,68.33,3,0
308,Medicham (Mega Medicham),Fighting,Psychic,60,100,85,80,85,100,510,85,3,0
309,Electrike,Electric,nan,40,45,40,65,40,65,295,49.17,3,0
310,Manectric,Electric,nan,70,75,60,105,60,105,475,79.17,3,0
310,Manectric (Mega Manectric),Electric,nan,70,75,80,135,80,135,575,95.83,3,0
311,Plusle,Electric,nan,60,50,40,85,75,95,405,67.5,3,0
312,Minun,Electric,nan,60,40,50,75,85,95,405,67.5,3,0
313,Volbeat,Bug,nan,65,73,75,47,85,85,430,71.67,3,0
314,Illumise,Bug,nan,65,47,75,73,85,85,430,71.67,3,0
315,Roselia,Grass,Poison,50,60,45,100,80,65,400,66.67,3,0
316,Gulpin,Poison,nan,70,43,53,43,53,40,302,50.33,3,0
317,Swalot,Poison,nan,100,73,83,73,83,55,467,77.83,3,0
318,Carvanha,Water,Dark,45,90,20,65,20,65,305,50.83,3,0
319,Sharpedo,Water,Dark,70,120,40,95,40,95,460,76.67,3,0
319,Sharpedo (Mega Sharpedo),Water,Dark,70,140,70,110,65,105,560,93.33,3,0
320,Wailmer,Water,nan,130,70,35,70,35,60,400,66.67,3,0
321,Wailord,Water,nan,170,90,45,90,45,60,500,83.33,3,0
322,Numel,Fire,Ground,60,60,40,65,45,35,305,50.83,3,0
323,Camerupt,Fire,Ground,70,100,70,105,75,40,460,76.67,3,0
323,Camerupt (Mega Camerupt),Fire,Ground,70,120,100,145,105,20,560,93.33,3,0
324,Torkoal,Fire,nan,70,85,140,85,70,20,470,78.33,3,0
325,Spoink,Psychic,nan,60,25,35,70,80,60,330,55,3,0
326,Grumpig,Psychic,nan,80,45,65,90,110,80,470,78.33,3,0
327,Spinda,Normal,nan,60,60,60,60,60,60,360,60,3,0
328,Trapinch,Ground,nan,45,100,45,45,45,10,290,48.33,3,0
329,Vibrava,Ground,Dragon,50,70,50,50,50,70,340,56.67,3,0
330,Flygon,Ground,Dragon,80,100,80,80,80,100,520,86.67,3,0
331,Cacnea,Grass,nan,50,85,40,85,40,35,335,55.83,3,0
332,Cacturne,Grass,Dark,70,115,60,115,60,55,475,79.17,3,0
333,Swablu,Normal,Flying,45,40,60,40,75,50,310,51.67,3,0
334,Altaria,Dragon,Flying,75,70,90,70,105,80,490,81.67,3,0
334,Altaria (Mega Altaria),Dragon,Fairy,75,110,110,110,105,80,590,98.33,3,0
335,Zangoose,Normal,nan,73,115,60,60,60,90,458,76.33,3,0
336,Seviper,Poison,nan,73,100,60,100,60,65,458,76.33,3,0
337,Lunatone,Rock,Psychic,90,55,65,95,85,70,460,76.67,3,0
338,Solrock,Rock,Psychic,90,95,85,55,65,70,460,76.67,3,0
339,Barboach,Water,Ground,50,48,43,46,41,60,288,48,3,0
340,Whiscash,Water,Ground,110,78,73,76,71,60,468,78,3,0
341,Corphish,Water,nan,43,80,65,50,35,35,308,51.33,3,0
342,Crawdaunt,Water,Dark,63,120,85,90,55,55,468,78,3,0
343,Baltoy,Ground,Psychic,40,40,55,40,70,55,300,50,3,0
344,Claydol,Ground,Psychic,60,70,105,70,120,75,500,83.33,3,0
345,Lileep,Rock,Grass,66,41,77,61,87,23,355,59.17,3,0
346,Cradily,Rock,Grass,86,81,97,81,107,43,495,82.5,3,0
347,Anorith,Rock,Bug,45,95,50,40,50,75,355,59.17,3,0
348,Armaldo,Rock,Bug,75,125,100,70,80,45,495,82.5,3,0
349,Feebas,Water,nan,20,15,20,10,55,80,200,33.33,3,0
350,Milotic,Water,nan,95,60,79,100,125,81,540,90,3,0
351,Castform,Normal,nan,70,70,70,70,70,70,420,70,3,0
351,Castform (Sunny Form),Fire,nan,70,70,70,70,70,70,420,70,3,0
351,Castform (Rainy form),Water,nan,70,70,70,70,70,70,420,70,3,0
351,Castform (Snowy form),Ice,nan,70,70,70,70,70,70,420,70,3,0
352,Kecleon,Normal,nan,60,90,70,60,120,40,440,73.33,3,0
353,Shuppet,Ghost,nan,44,75,35,63,33,45,295,49.17,3,0
354,Banette,Ghost,nan,64,115,65,83,63,65,455,75.83,3,0
354,Banette (Mega Banette),Ghost,nan,64,165,75,93,83,75,555,92.5,3,0
355,Duskull,Ghost,nan,20,40,90,30,90,25,295,49.17,3,0
356,Dusclops,Ghost,nan,40,70,130,60,130,25,455,75.83,3,0
357,Tropius,Grass,Flying,99,68,83,72,87,51,460,76.67,3,0
358,Chimecho,Psychic,nan,75,50,80,95,90,65,455,75.83,3,0
359,Absol,Dark,nan,65,130,60,75,60,75,465,77.5,3,0
359,Absol (Mega Absol),Dark,nan,65,150,60,115,60,115,565,94.17,3,0
360,Wynaut,Ice,nan,95,23,48,23,48,23,260,43.33,3,0
361,Snorunt,Ice,nan,50,50,50,50,50,50,300,50,3,0
362,Glalie,Ice,nan,80,80,80,80,80,80,480,80,3,0
362,Glalie (Mega Glalie),Ice,nan,80,120,80,120,80,100,580,96.67,3,0
363,Spheal,Ice,Water,70,40,50,55,50,25,290,48.33,3,0
364,Sealeo,Ice,Water,90,60,70,75,70,45,410,68.33,3,0
365,Walrein,Ice,Water,110,80,90,95,90,65,530,88.33,3,0
366,Clamperl,Water,nan,35,64,85,74,55,32,345,57.5,3,0
367,Huntail,Water,nan,55,104,105,94,75,52,485,80.83,3,0
368,Gorebyss,Water,nan,55,84,105,114,75,52,485,80.83,4,0
369,Relicanth,Water,Rock,100,90,130,45,65,55,485,80.83,4,0
370,Luvdisc,Water,nan,43,30,55,40,65,97,330,55,4,0
371,Bagon,Dragon,nan,45,75,60,40,30,50,300,50,4,0
372,Shelgon,Dragon,nan,65,95,100,60,50,50,420,70,4,0
373,Salamence,Dragon,Fighting,95,135,80,110,80,100,600,100,4,0
373,Salamence (Mega Salamence),Dragon,Fighting,95,145,130,120,90,120,700,116.67,4,0
374,Beldum,Steel,Psychic,40,55,80,35,60,30,300,50,4,0
375,Metang,Steel,Psychic,60,75,100,55,80,50,420,70,4,0
376,Metagross,Steel,Psychic,80,135,130,95,90,70,600,100,4,0
376,Metagross (Mega Metagross),Steel,Psychic,80,145,150,105,110,110,700,116.67,4,0
377,Regirock,Rock,Flying,80,100,200,50,100,50,580,96.67,4,1
378,Regice,Ice,nan,80,50,100,100,200,50,580,96.67,4,1
379,Registeel,Steel,nan,80,75,150,75,150,50,580,96.67,4,1
380,Latias,Dragon,Psychic,80,80,90,110,130,110,600,100,4,1
380,Latias (Mega Latias),Dragon,Psychic,80,100,120,140,150,110,700,116.67,4,1
381,Latios,Dragon,Psychic,80,90,80,130,110,110,600,100,4,1
381,Latios (Mega Latios),Dragon,Psychic,80,130,100,160,120,110,700,116.67,4,1
382,Kyogre,Water,nan,100,100,90,150,140,90,670,111.67,4,1
382,Kyogre (Primal Kyogre),Water,nan,100,150,90,180,160,90,770,128.33,4,1
383,Groudon,Ground,nan,100,150,140,100,90,90,670,111.67,4,1
383,Groudon (Primal Groudon),Ground,Fire,100,180,160,150,90,90,770,128.33,4,1
384,Rayquaza,Dragon,Flying,105,150,90,150,90,95,680,113.33,4,1
384,Rayquaza (Mega Rayquaza),Dragon,Flying,105,180,100,180,100,115,780,130,4,1
385,Jirachi,Steel,Psychic,100,100,100,100,100,100,600,100,4,0
386,Deoxys (Normal Forme),Psychic,nan,50,150,50,150,50,150,600,100,4,0
386,Deoxys (Attack Forme),Psychic,nan,50,180,20,180,20,150,600,100,4,0
386,Deoxys (Defense Forme),Psychic,nan,50,70,160,70,160,90,600,100,4,0
386,Deoxys (Speed Forme),Psychic,nan,50,95,90,95,90,180,600,100,4,0
387,Turtwig,Grass,nan,55,68,64,45,55,31,318,53,4,0
388,Grotle,Grass,nan,75,89,85,55,65,36,405,67.5,4,0
389,Torterra,Grass,Ground,95,109,105,75,85,56,525,87.5,4,0
390,Chimchar,Fire,nan,44,58,44,58,44,61,309,51.5,4,0
391,Monferno,Fire,Fighting,64,78,52,78,52,81,405,67.5,4,0
392,Infernape,Fire,Fighting,76,104,71,104,71,108,534,89,4,0
393,Piplup,Water,nan,53,51,53,61,56,40,314,52.33,4,0
394,Prinplup,Water,nan,64,66,68,81,76,50,405,67.5,4,0
395,Empoleon,Water,Steel,84,86,88,111,101,60,530,88.33,4,0
396,Starly,Water,Ground,40,55,30,30,30,60,245,40.83,4,0
397,Staravia,Normal,nan,55,75,50,40,40,80,340,56.67,4,0
398,Staraptor,Ghost,Flying,85,120,70,50,60,100,485,80.83,4,0
399,Bidoof,Ghost,Flying,59,45,40,35,40,31,250,41.67,4,0
400,Bibarel,Normal,nan,79,85,60,55,60,71,410,68.33,4,0
401,Kricketot,Normal,nan,37,25,41,25,41,25,194,32.33,4,0
402,Kricketune,Normal,Fighting,77,85,51,55,51,65,384,64,4,0
403,Shinx,Ghost,nan,45,65,34,40,34,45,263,43.83,4,0
404,Luxio,Dark,Flying,60,85,49,60,49,60,363,60.5,4,0
405,Luxray,Normal,nan,80,120,79,95,79,70,523,87.17,4,0
406,Budew,Normal,nan,40,30,35,50,70,55,280,46.67,4,0
407,Roserade,Psychic,nan,60,70,65,125,105,90,515,85.83,4,0
408,Cranidos,Poison,Dark,67,125,40,30,30,58,350,58.33,4,0
409,Rampardos,Poison,Dark,97,165,60,65,50,58,495,82.5,4,0
410,Shieldon,Steel,Psychic,30,42,118,42,88,30,350,58.33,4,0
411,Bastiodon,Steel,Psychic,60,52,168,47,138,30,495,82.5,4,0
412,Burmy,Rock,nan,40,29,45,29,45,36,224,37.33,4,0
413,Wormadam (Plant Cloak),Psychic,Fairy,60,59,85,79,105,36,424,70.67,4,0
413,Wormadam (Sandy Cloak),Normal,nan,60,79,105,59,85,36,424,70.67,4,0
413,Wormadam (Trash Cloak),Normal,Flying,60,69,95,69,95,36,424,70.67,4,0
414,Mothim,Ghost,Dark,70,94,50,94,50,66,424,70.67,4,0
415,Combee,Dragon,Ground,30,30,42,30,42,70,244,40.67,4,0
416,Vespiquen,Dragon,Ground,70,80,102,80,102,40,474,79,4,0
417,Pachirisu,Dragon,Ground,60,45,70,45,90,95,405,67.5,4,0
418,Buizel,Dragon,Ground,55,65,35,60,30,85,330,55,4,0
419,Floatzel,Normal,nan,85,105,55,85,50,115,495,82.5,4,0
420,Cherubi,Fighting,nan,45,35,45,62,53,35,275,45.83,4,0
421,Cherrim,Fighting,Steel,70,60,70,87,78,85,450,75,4,0
422,Shellos,Fighting,Steel,76,48,48,57,62,34,325,54.17,4,0
423,Gastrodon,Ground,nan,111,83,68,92,82,39,475,79.17,4,0
424,Ambipom,Ground,nan,75,100,66,60,66,115,482,80.33,4,0
425,Drifloon,Poison,Bug,90,50,34,60,44,70,348,58,4,0
426,Drifblim,Poison,Dark,150,80,44,90,54,80,498,83,4,0
427,Buneary,Poison,Fighting,55,66,44,44,56,85,350,58.33,4,0
428,Lopunny,Poison,Fighting,65,76,84,54,96,105,480,80,4,0
428,Lopunny (Mega Lopunny),Grass,nan,65,136,94,54,96,135,580,96.67,4,0
429,Mismagius,Water,nan,60,60,60,105,105,105,495,82.5,4,0
430,Honchkrow,Water,nan,100,125,52,105,52,71,505,84.17,4,0
431,Glameow,Water,Flying,49,55,42,42,37,85,310,51.67,4,0
432,Purugly,Grass,Ice,71,82,64,64,59,112,452,75.33,4,0
433,Chingling,Grass,Ice,45,30,50,65,50,45,285,47.5,4,0
434,Stunky,Grass,Ice,63,63,47,41,41,74,329,54.83,4,0
435,Skuntank,Dark,Ice,103,93,67,71,61,84,479,79.83,4,0
436,Bronzor,Electric,Steel,57,24,86,24,86,23,300,50,4,0
437,Bronzong,Normal,nan,67,89,116,79,116,33,500,83.33,4,0
438,Bonsly,Ground,Rock,50,80,95,10,45,10,290,48.33,4,0
439,Mime Jr.,Grass,nan,20,25,45,70,90,60,310,51.67,4,0
440,Happiny,Electric,nan,100,5,5,15,65,30,220,36.67,4,0
441,Chatot,Fire,nan,76,65,45,92,42,91,411,68.5,4,0
442,Spiritomb,Fairy,Flying,50,92,108,92,108,35,485,80.83,4,0
443,Gible,Bug,Flying,58,70,45,40,45,42,300,50,4,0
444,Gabite,Grass,nan,68,90,65,50,55,82,410,68.33,4,0
445,Garchomp,Ice,nan,108,130,95,80,85,102,600,100,4,0
445,Garchomp (Mega Garchomp),Ground,Flying,108,170,115,120,95,92,700,116.67,4,0
446,Munchlax,Ice,Ground,135,85,40,40,85,5,390,65,4,0
447,Riolu,Normal,nan,40,70,40,35,40,60,285,47.5,4,0
448,Lucario,Psychic,Fighting,70,110,70,115,70,90,525,87.5,4,0
448,Lucario (Mega Lucario),Psychic,Fighting,70,145,88,140,70,112,625,104.17,4,0
449,Hippopotas,Rock,Steel,68,72,78,38,42,32,330,55,4,0
450,Hippowdon,Ghost,nan,108,112,118,68,72,47,525,87.5,4,0
451,Skorupi,Ice,Ghost,40,50,90,30,55,65,330,55,4,0
452,Drapion,Electric,Ghost,70,90,110,60,75,95,500,83.33,4,0
453,Croagunk,Electric,Fire,48,61,40,61,40,50,300,50,4,0
454,Toxicroak,Electric,Water,83,106,65,86,65,85,490,81.67,4,0
455,Carnivine,Electric,Ice,74,100,72,90,72,46,454,75.67,4,0
456,Finneon,Electric,Flying,49,49,56,49,61,66,330,55,4,0
457,Lumineon,Electric,Grass,69,69,76,69,86,91,460,76.67,4,0
458,Mantyke,Psychic,nan,45,20,50,60,120,50,345,57.5,4,0
459,Snover,Psychic,nan,60,62,50,62,60,40,334,55.67,4,0
460,Abomasnow,Psychic,nan,90,92,75,92,85,60,494,82.33,4,0
460,Abomasnow (Mega Abomasnow),Steel,Dragon,90,132,105,132,105,30,594,99,4,0
461,Weavile,Water,Dragon,70,120,65,45,85,125,510,85,4,0
462,Magnezone,Fire,Steel,70,70,115,130,90,60,535,89.17,4,0
463,Lickilicky,Normal,nan,110,85,95,80,95,50,515,85.83,4,0
464,Rhyperior,Ghost,Dragon,115,140,130,55,55,40,535,89.17,4,0
465,Tangrowth,Ghost,Dragon,100,100,125,110,50,50,535,89.17,4,0
466,Electivire,Psychic,nan,75,123,67,95,85,95,540,90,4,0
467,Magmortar,Water,nan,75,95,67,125,95,83,540,90,4,0
468,Togekiss,Water,nan,85,50,95,120,115,80,545,90.83,4,0
469,Yanmega,Dark,nan,86,76,86,116,56,95,515,85.83,4,0
470,Leafeon,Grass,nan,65,110,130,60,65,95,525,87.5,4,0
471,Glaceon,Grass,Flying,65,60,110,130,95,65,525,87.5,4,0
472,Gliscor,Normal,nan,75,95,125,45,75,95,510,85,4,0
473,Mamoswine,Psychic,Fire,110,130,80,70,60,80,530,88.33,5,0
474,Porygon-Z,Grass,nan,85,80,70,135,75,90,535,89.17,5,0
475,Gallade,Grass,nan,68,125,65,65,115,80,518,86.33,5,0
475,Gallade (Mega Gallade),Grass,nan,68,165,95,65,115,110,618,103,5,0
476,Probopass,Fire,nan,60,55,145,75,150,40,525,87.5,5,0
477,Dusknoir,Fire,Fighting,45,100,135,65,135,45,525,87.5,5,0
478,Froslass,Fire,Fighting,70,80,70,80,70,110,480,80,5,0
479,Rotom,Water,nan,50,50,77,95,77,91,440,73.33,5,0
479,Rotom (Heat Rotom),Water,nan,50,65,107,105,107,86,520,86.67,5,0
479,Rotom (Wash Rotom),Water,nan,50,65,107,105,107,86,520,86.67,5,0
479,Rotom (Frost Rotom),Normal,nan,50,65,107,105,107,86,520,86.67,5,0
479,Rotom (Fan Rotom),Normal,nan,50,65,107,105,107,86,520,86.67,5,0
479,Rotom (Mow Rotom),Normal,nan,50,65,107,105,107,86,520,86.67,5,0
480,Uxie,Psychic,nan,75,75,130,75,130,95,580,96.67,5,1
481,Mesprit,Psychic,nan,80,105,105,105,105,80,580,96.67,5,1
482,Azelf,Psychic,nan,75,125,70,125,70,115,580,96.67,5,1
483,Dialga,Steel,Dragon,100,120,120,150,100,90,680,113.33,5,1
484,Palkia,Water,Dragon,90,120,100,150,120,100,680,113.33,5,1
485,Heatran,Fire,Steel,91,90,106,130,106,77,600,100,5,1
486,Regigigas,Normal,nan,110,160,110,80,110,100,670,111.67,5,1
487,Giratina (Altered Forme),Ghost,Dragon,150,100,120,100,120,90,680,113.33,5,1
487,Giratina (Origin Forme),Ghost,Dragon,150,120,100,120,100,90,680,113.33,5,1
488,Cresselia,Psychic,nan,120,70,120,75,130,85,600,100,5,1
489,Phione,Psychic,nan,80,80,80,80,80,80,480,80,5,0
490,Manaphy,Psychic,nan,100,100,100,100,100,100,600,100,5,0
491,Darkrai,Normal,Flying,70,90,90,135,90,125,600,100,5,0
492,Shaymin (Land Forme),Normal,Flying,100,100,100,100,100,100,600,100,5,0
492,Shaymin (Sky Forme),Normal,Flying,100,103,75,120,75,127,600,100,5,0
493,Arceus,Electric,nan,120,120,120,120,120,120,720,120,5,0
494,Victini,Electric,nan,100,100,100,100,100,100,600,100,5,0
495,Snivy,Rock,nan,45,45,55,45,55,63,308,51.33,5,0
496,Servine,Rock,nan,60,60,75,60,75,83,413,68.83,5,0
497,Serperior,Rock,nan,75,75,95,75,95,113,528,88,5,0
498,Tepig,Psychic,Flying,65,63,45,45,45,45,308,51.33,5,0
499,Pignite,Psychic,Flying,90,93,55,70,55,55,418,69.67,5,0
500,Emboar,Ground,nan,110,123,65,100,65,65,528,88,5,0
501,Oshawott,Ground,Steel,55,55,45,63,45,45,308,51.33,5,0
502,Dewott,Normal,nan,75,75,60,83,60,60,413,68.83,5,0
503,Samurott,Normal,Fairy,95,100,85,108,70,70,528,88,5,0
504,Patrat,Fighting,nan,45,55,39,35,39,42,255,42.5,5,0
505,Watchog,Fighting,nan,60,85,69,60,69,77,420,70,5,0
506,Lillipup,Fighting,nan,45,60,45,25,45,55,275,45.83,5,0
507,Herdier,Water,nan,65,80,65,35,65,60,370,61.67,5,0
508,Stoutland,Water,Ground,85,110,90,45,90,80,500,83.33,5,0
509,Purrloin,Water,Ground,41,50,37,50,37,66,281,46.83,5,0
510,Liepard,Fighting,nan,64,88,50,88,50,106,446,74.33,5,0
511,Pansage,Fighting,nan,50,53,48,53,48,64,316,52.67,5,0
512,Simisage,Bug,Grass,75,98,63,98,63,101,498,83,5,0
513,Pansear,Bug,Grass,50,53,48,53,48,64,316,52.67,5,0
514,Simisear,Bug,Grass,75,98,63,98,63,101,498,83,5,0
515,Panpour,Bug,Poison,50,53,48,53,48,64,316,52.67,5,0
516,Simipour,Bug,Poison,75,98,63,98,63,101,498,83,5,0
517,Munna,Bug,Poison,76,25,45,67,55,24,292,48.67,5,0
518,Musharna,Grass,Fairy,116,55,85,107,95,29,487,81.17,5,0
519,Pidove,Grass,Fairy,50,55,50,36,30,43,264,44,5,0
520,Tranquill,Grass,nan,62,77,62,50,42,65,358,59.67,5,0
521,Unfezant,Grass,nan,80,115,80,65,55,93,488,81.33,5,0
522,Blitzle,Water,nan,45,60,32,50,32,76,295,49.17,5,0
523,Zebstrika,Ground,Dark,75,100,63,80,63,116,497,82.83,5,0
524,Roggenrola,Ground,Dark,55,75,85,25,25,15,280,46.67,5,0
525,Boldore,Ground,Dark,70,105,105,50,40,20,390,65,5,0
526,Gigalith,Fire,nan,85,135,130,60,80,25,515,85.83,5,0
527,Woobat,Fire,nan,65,45,43,55,43,72,323,53.83,5,0
528,Swoobat,Fire,Psychic,67,57,55,77,55,114,425,70.83,5,0
529,Drilbur,Grass,nan,60,85,40,30,45,68,328,54.67,5,0
530,Excadrill,Bug,Rock,110,135,60,50,65,88,508,84.67,5,0
531,Audino,Bug,Rock,103,60,86,60,86,50,445,74.17,5,0
531,Audino (Mega Audino),Dark,Fighting,103,60,126,80,126,50,545,90.83,5,0
532,Timburr,Dark,Fighting,75,80,55,25,35,35,305,50.83,5,0
533,Gurdurr,Psychic,Flying,85,105,85,40,50,40,405,67.5,5,0
534,Conkeldurr,Ghost,nan,105,140,95,55,65,45,505,84.17,5,0
535,Tympole,Ghost,nan,50,50,40,50,40,64,294,49,5,0
536,Palpitoad,Water,Rock,75,65,55,65,55,69,384,64,5,0
537,Seismitoad,Water,Rock,105,95,75,85,75,74,509,84.83,5,0
538,Throh,Rock,Flying,120,100,85,30,85,45,465,77.5,5,0
539,Sawk,Rock,Flying,75,125,75,30,75,85,465,77.5,5,0
540,Sewaddle,Poison,nan,45,53,70,40,60,42,310,51.67,5,0
541,Swadloon,Poison,nan,55,63,90,50,80,42,380,63.33,5,0
542,Leavanny,Dark,nan,75,103,80,70,80,92,500,83.33,5,0
543,Venipede,Dark,nan,30,45,59,30,39,57,260,43.33,5,0
544,Whirlipede,Normal,nan,40,55,99,40,79,47,360,60,5,0
545,Scolipede,Normal,nan,60,100,89,55,69,112,485,80.83,5,0
546,Cottonee,Psychic,nan,40,27,60,37,50,66,280,46.67,5,0
547,Whimsicott,Psychic,nan,60,67,85,77,75,116,480,80,5,0
548,Petilil,Psychic,nan,45,35,50,70,50,30,280,46.67,5,0
549,Lilligant,Psychic,nan,70,60,75,110,75,90,480,80,5,0
550,Basculin,Psychic,nan,70,92,65,80,55,98,460,76.67,5,0
551,Sandile,Psychic,nan,50,72,35,35,35,65,292,48.67,5,0
552,Krokorok,Water,Flying,60,82,45,45,45,74,351,58.5,5,0
553,Krookodile,Water,Flying,95,117,80,65,70,92,519,86.5,5,0
554,Darumaka,Ice,nan,70,90,45,15,45,50,315,52.5,5,0
554,Darumaka (Galarian form),Ice,nan,70,90,45,15,45,50,315,52.5,5,0
555,Darmanitan (Standard Mode),Ice,nan,105,140,55,30,55,95,480,80,5,0
555,Darmanitan (Zen Mode),Normal,Grass,105,30,105,140,105,55,540,90,5,0
555,Darmanitan (Galarian form),Normal,Grass,105,140,55,30,55,95,480,80,5,0
555,"Darmanitan (Galarian form, Zen Mode)",Electric,Flying,105,160,55,30,55,135,540,90,5,0
556,Maractus,Bug,nan,75,86,67,106,67,60,461,76.83,5,0
557,Dwebble,Bug,Steel,50,65,85,35,35,55,325,54.17,5,0
558,Crustle,Grass,Poison,70,105,125,65,75,45,485,80.83,5,0
559,Scraggy,Grass,Poison,50,75,70,35,70,48,348,58,5,0
560,Scrafty,Water,Ghost,65,90,115,45,115,58,488,81.33,5,0
561,Sigilyph,Water,Ghost,72,58,80,103,80,97,490,81.67,5,0
562,Yamask,Water,nan,38,30,85,55,65,30,303,50.5,5,0
562,Yamask (Galarian form),Bug,Electric,38,55,85,30,65,30,303,50.5,5,0
563,Cofagrigus,Bug,Electric,58,50,145,95,105,30,483,80.5,5,0
564,Tirtouga,Grass,Steel,54,78,103,53,45,22,355,59.17,5,0
565,Carracosta,Grass,Steel,74,108,133,83,65,32,495,82.5,5,0
566,Archen,Steel,nan,55,112,45,74,45,70,401,66.83,5,0
567,Archeops,Steel,nan,75,140,65,112,65,110,567,94.5,5,0
568,Trubbish,Steel,nan,50,50,62,40,62,65,329,54.83,5,0
569,Garbodor,Electric,nan,80,95,82,60,82,75,474,79,5,0
570,Zorua,Electric,nan,40,65,40,80,40,65,330,55,5,0
571,Zoroark,Electric,nan,60,105,60,120,60,105,510,85,5,0
572,Minccino,Psychic,nan,55,50,40,40,40,75,300,50,5,0
573,Cinccino,Psychic,nan,75,95,60,65,60,115,470,78.33,5,0
574,Gothita,Ghost,Fire,45,30,50,55,65,45,290,48.33,5,0
575,Gothorita,Ghost,Fire,60,45,70,75,85,55,390,65,5,0
576,Gothitelle,Ghost,Fire,70,55,95,95,110,65,490,81.67,5,0
577,Solosis,Dragon,nan,45,30,40,105,50,20,290,48.33,5,0
578,Duosion,Dragon,nan,65,40,50,125,60,30,370,61.67,5,0
579,Reuniclus,Dragon,nan,110,65,75,125,85,30,490,81.67,5,0
580,Ducklett,Ice,nan,62,44,50,44,50,55,305,50.83,5,0
581,Swanna,Ice,nan,75,87,63,87,63,98,473,78.83,5,0
582,Vanillite,Ice,nan,36,50,50,65,60,44,305,50.83,5,0
583,Vanillish,Bug,nan,51,65,65,80,75,59,395,65.83,5,0
584,Vanilluxe,Bug,nan,71,95,85,110,95,79,535,89.17,5,0
585,Deerling,Ground,Electric,60,60,50,40,50,75,335,55.83,5,0
586,Sawsbuck,Fighting,nan,80,100,70,60,70,95,475,79.17,5,0
587,Emolga,Fighting,nan,55,75,60,75,60,103,428,71.33,5,0
588,Karrablast,Dragon,nan,50,75,45,40,45,60,315,52.5,5,0
589,Escavalier,Ground,Ghost,70,135,105,60,105,20,495,82.5,5,0
590,Foongus,Ground,Ghost,69,55,45,55,55,15,294,49,5,0
591,Amoonguss,Dark,Steel,114,85,70,85,80,30,464,77.33,5,0
592,Frillish,Dark,Steel,55,40,50,65,85,40,335,55.83,5,0
593,Jellicent,Normal,nan,100,60,70,85,105,60,480,80,5,0
594,Alomomola,Normal,Flying,165,75,80,40,45,65,470,78.33,5,0
595,Joltik,Normal,Flying,50,47,50,57,50,65,319,53.17,5,0
596,Galvantula,Dark,Flying,70,77,60,97,60,108,472,78.67,5,0
597,Ferroseed,Dark,Flying,44,50,91,24,86,10,305,50.83,5,0
598,Ferrothorn,Fire,nan,74,94,131,54,116,20,489,81.5,5,0
599,Klink,Bug,Steel,40,55,70,45,60,30,300,50,5,0
600,Klang,Dark,Dragon,60,80,95,70,85,50,440,73.33,5,0
601,Klinklang,Dark,Dragon,60,100,115,70,85,90,520,86.67,5,0
602,Tynamo,Dark,Dragon,35,55,40,45,40,60,275,45.83,5,0
603,Eelektrik,Bug,Fire,65,85,70,75,70,40,405,67.5,5,0
604,Eelektross,Bug,Fire,85,115,80,105,80,50,515,85.83,5,0
605,Elgyem,Steel,Fighting,55,55,55,85,55,30,335,55.83,5,0
606,Beheeyem,Rock,Fighting,75,75,75,125,95,40,485,80.83,5,0
607,Litwick,Grass,Fighting,50,30,55,65,55,20,275,45.83,5,0
608,Lampent,Flying,nan,60,40,60,95,60,55,370,61.67,5,0
609,Chandelure,Flying,nan,60,55,90,145,90,80,520,86.67,5,0
610,Axew,Electric,Flying,46,87,60,30,40,57,320,53.33,5,0
611,Fraxure,Electric,Flying,66,117,70,40,50,67,410,68.33,5,0
612,Haxorus,Dragon,Fire,76,147,90,60,70,97,540,90,5,0
613,Cubchoo,Dragon,Electric,55,70,40,60,40,40,305,50.83,5,0
614,Beartic,Ground,Flying,95,130,80,70,80,50,505,84.17,5,0
615,Cryogonal,Ground,Flying,80,50,50,95,135,105,515,85.83,5,0
616,Shelmet,Dragon,Ice,50,40,85,40,65,25,305,50.83,5,0
617,Accelgor,Dragon,Ice,80,70,40,100,60,145,495,82.5,5,0
618,Stunfisk,Dragon,Ice,109,66,84,81,99,32,471,78.5,5,0
618,Stunfisk (Galarian form),Water,Fighting,109,81,99,66,84,32,471,78.5,5,0
619,Mienfoo,Water,Fighting,45,85,50,55,50,65,350,58.33,5,0
620,Mienshao,Normal,Psychic,65,125,60,95,60,105,510,85,5,0
621,Druddigon,Normal,Fighting,77,120,90,60,90,48,485,80.83,5,0
622,Golett,Bug,Steel,59,74,50,35,50,35,303,50.5,5,0
623,Golurk,Grass,nan,89,124,80,55,80,55,483,80.5,6,0
624,Pawniard,Grass,nan,45,85,70,40,40,60,340,56.67,6,0
625,Bisharp,Grass,Fighting,65,125,100,60,70,70,490,81.67,6,0
626,Bouffalant,Fire,nan,95,110,95,40,95,55,490,81.67,6,0
627,Rufflet,Fire,nan,70,83,50,37,50,60,350,58.33,6,0
628,Braviary,Fire,Psychic,100,123,75,57,75,80,510,85,6,0
629,Vullaby,Water,nan,70,55,75,45,65,60,370,61.67,6,0
